Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,140000.0,1.5625,1.1673869772089851E-9,140000.0,92.50357142857143,92.50357142857143,-464.24731182795915,0.0,?,?,?,140000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,145000.0,1.59375,1.1907347167531647E-9,145000.0,92.60206896551723,92.60206896551723,-463.39285714285614,0.0,?,?,?,145000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,150000.0,1.65625,1.2374301958415242E-9,150000.0,92.64666666666666,92.64666666666666,-462.1814475025493,0.0,?,?,?,150000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,155000.0,1.703125,1.2724518051577938E-9,155000.0,92.67032258064516,92.67032258064516,-462.98315163528423,0.0,?,?,?,155000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,160000.0,1.765625,1.3191472842461532E-9,160000.0,92.481875,92.481875,-480.55019305019215,0.0,?,?,?,160000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,165000.0,1.8125,1.3541688935624228E-9,165000.0,92.56727272727274,92.56727272727274,-486.2332695984716,0.0,?,?,?,165000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,170000.0,1.875,1.4008643726507823E-9,170000.0,92.77058823529411,92.77058823529411,-485.79599618684693,0.0,?,?,?,170000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,175000.0,1.9375,1.4475598517391417E-9,175000.0,92.90571428571428,92.90571428571428,-476.3695450324973,0.0,?,?,?,175000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,180000.0,2.015625,1.505929200599591E-9,180000.0,93.07888888888888,93.07888888888888,-471.4678899082587,0.0,?,?,?,180000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,185000.0,2.0625,1.5409508099158605E-9,185000.0,93.05837837837838,93.05837837837838,-478.9900811541907,0.0,?,?,?,185000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,190000.0,2.125,1.58764628900422E-9,190000.0,93.04157894736842,93.04157894736842,-458.7912087912083,0.0,?,?,?,190000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,195000.0,2.1875,1.6343417680925794E-9,195000.0,93.04820512820513,93.04820512820513,-433.28088119591035,0.0,?,?,?,195000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,200000.0,2.234375,1.669363377408849E-9,200000.0,93.1395,93.1395,-429.7683397683393,0.0,?,?,?,200000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,205000.0,2.296875,1.7160588564972084E-9,205000.0,93.26048780487804,93.26048780487804,-426.52439024390134,0.0,?,?,?,205000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,210000.0,2.34375,1.751080465813478E-9,210000.0,93.32095238095238,93.32095238095238,-422.9679343773314,0.0,?,?,?,210000.0,2888.0
